Year,Country,HIV-Incidence,TB-Incidence,Malaria-Incidence,NewHiv,Hiv-Prevelance
2001,Nigeria,1.05,219,429.04,130000,1.5
2002,Nigeria,1,219,412.96,130000,1.5
2003,Nigeria,0.96,219,409.16,130000,1.5
2004,Nigeria,0.91,219,411.39,120000,1.5
2005,Nigeria,0.88,219,415.28,120000,1.5
2006,Nigeria,0.83,219,418.17,120000,1.5
2007,Nigeria,0.8,219,421.33,120000,1.4
2008,Nigeria,0.78,219,424.66,120000,1.4
2009,Nigeria,0.75,219,416.59,120000,1.4
2010,Nigeria,0.72,219,398.90,110000,1.4
2011,Nigeria,0.7,219,372.56,110000,1.4
2012,Nigeria,0.67,219,347.74,110000,1.4
2013,Nigeria,0.61,219,328.65,100000,1.4
2014,Nigeria,0.55,219,314.40,97000,1.4
2015,Nigeria,0.53,219,296.08,95000,1.4
2016,Nigeria,0.51,219,281.38,95000,1.4
2017,Nigeria,0.49,219,283.06,93000,1.4
2018,Nigeria,0.48,219,291.94,93000,1.3
2019,Nigeria,0.46,219,0.00,92000,1.3
2020,Nigeria,0.42,219,0.00,86000,1.3
